"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61","NA62","NA63","NA64","NA65","NA66","NA67","NA68","NA69","NA70","NA71","NA72","NA73","NA74","NA75","NA76","NA77","NA78","NA79","NA80","NA81","NA82","NA83","NA84","NA85","NA86","NA87","NA88","NA89"
"1","genero","Total_Total_f","Total_Total_pct","F1_Hombre_f","F1_Hombre_pct","F1_Mujer_f","F1_Mujer_pct","Rangos.edad_18 a 25_f","Rangos.edad_18 a 25_pct","Rangos.edad_26 a 35_f","Rangos.edad_26 a 35_pct","Rangos.edad_36 a 45_f","Rangos.edad_36 a 45_pct","Rangos.edad_46 a 55_f","Rangos.edad_46 a 55_pct","nseREC_C+_f","nseREC_C+_pct","nseREC_C tipico_f","nseREC_C tipico_pct","nseREC_C-/D+_f","nseREC_C-/D+_pct","nseREC_D_f","nseREC_D_pct","Plaza_México_f","Plaza_México_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Mérida_f","Plaza_Mérida_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","tipoAudiencia_AudienciaAzteca_f","tipoAudiencia_AudienciaAzteca_pct","tipoAudiencia_AudienciaTelevisa_f","tipoAudiencia_AudienciaTelevisa_pct","P28.Canal.7..azteca.siete_FALSE_f","P28.Canal.7..azteca.siete_FALSE_pct","P28.Canal.7..azteca.siete_TRUE_f","P28.Canal.7..azteca.siete_TRUE_pct","P28.Canal.13..azteca.trece_FALSE_f","P28.Canal.13..azteca.trece_FALSE_pct","P28.Canal.13..azteca.trece_TRUE_f","P28.Canal.13..azteca.trece_TRUE_pct","P28.Canal.40..Proyecto.40_FALSE_f","P28.Canal.40..Proyecto.40_FALSE_pct","P28.Canal.40..Proyecto.40_TRUE_f","P28.Canal.40..Proyecto.40_TRUE_pct","P28.Canal.2..canal.de.las.estrella_FALSE_f","P28.Canal.2..canal.de.las.estrella_FALSE_pct","P28.Canal.2..canal.de.las.estrella_TRUE_f","P28.Canal.2..canal.de.las.estrella_TRUE_pct","P28.Canal.4..foro.tv_FALSE_f","P28.Canal.4..foro.tv_FALSE_pct","P28.Canal.4..foro.tv_TRUE_f","P28.Canal.4..foro.tv_TRUE_pct","P28.Canal.5_FALSE_f","P28.Canal.5_FALSE_pct","P28.Canal.5_TRUE_f","P28.Canal.5_TRUE_pct","P28.Canal.9..Galavisi.n_FALSE_f","P28.Canal.9..Galavisi.n_FALSE_pct","P28.Canal.9..Galavisi.n_TRUE_f","P28.Canal.9..Galavisi.n_TRUE_pct","Generacion_Generación Z_f","Generacion_Generación Z_pct","Generacion_Millennials_f","Generacion_Millennials_pct","Generacion_Generación X_f","Generacion_Generación X_pct","Generacion_Baby Bommers_f","Generacion_Baby Bommers_pct","B1_Papá solo con hijos_f","B1_Papá solo con hijos_pct","B1_Mamá sola con hijos_f","B1_Mamá sola con hijos_pct","B1_Vive solo(a)_f","B1_Vive solo(a)_pct","B1_Papá y Mamá no mayores a 35 años con hijos_f","B1_Papá y Mamá no mayores a 35 años con hijos_pct","B1_Papá y Mamá mayores a 35 años con hijos_f","B1_Papá y Mamá mayores a 35 años con hijos_pct","B1_Pareja, hijos y otros parientes_f","B1_Pareja, hijos y otros parientes_pct","B1_Pareja sin hijos_f","B1_Pareja sin hijos_pct","B1_Otra (especificar)_f","B1_Otra (especificar)_pct"
"2","Hombre","458.479869304297","48","458.479869304297","100","0","0","116.508311908139","46.6","133.363927421263","48.8","120.318655088423","49.7","88.288974886472","46.7","82.7703938168225","48.1","108.946729775091","52.1","191.801872586793","47","74.9608731255904","45.4","139.999334053942","45.3","130.748643527888","48.8","87.3633326957155","48.8","36.2755834635377","49.7","64.092975563214","50.9","149.519322437942","55.8","266.453047596976","42.3","357.794109902023","44.6","100.685759402275","66.1","412.332377149843","48.9","46.1474921544547","41","455.793798423085","47.9","2.68607088121221","86.2","313.948945029106","59.5","144.530924275191","33.8","438.876477681236","47.5","19.6033916230616","64.6","363.546437400371","45.8","94.9334319039259","59","451.0945695095","47.7","7.38529979479763","72.7","49.1553122097698","41.7","211.840992823541","49.3","170.766904510302","48.1","26.7166597606851","51.3","26.538724451093","83.8","14.7328190539381","14.6","100.153760119157","55.1","57.0764277533182","44.6","162.021497994826","52.9","35.6452726764134","40.9","45.7759538696866","55.1","16.5354133858655","45.7"
"3","Mujer","496.520130695703","52","0","0","496.520130695703","100","133.753757901868","53.4","139.922255803138","51.2","121.934982627237","50.3","100.909134363459","53.3","89.2052609192845","51.9","100.310762398301","47.9","216.676714363796","53","90.3273930143216","54.6","169.000665946058","54.7","137.251356472112","51.2","91.6366673042845","51.2","36.7244165364623","50.3","61.9070244367861","49.1","118.532171206658","44.2","362.749518759563","57.7","444.807707769185","55.4","51.7124229265172","33.9","430.129439627408","51.1","66.3906910682944","59","496.091073483856","52.1","0.429057211846691","13.8","213.344059860733","40.5","283.17607083497","66.2","485.793433498866","52.5","10.7266971968364","35.4","430.446172670509","54.2","66.0739580251936","41","493.74733799314","52.3","2.77279270256275","27.3","68.6650402824105","58.3","218.261085724927","50.7","184.22879086513","51.9","25.3652138232352","48.7","5.11510808538392","16.2","86.3418905950206","85.4","81.5083827844636","44.9","70.8279088714906","55.4","144.323720167004","47.1","51.4544532096608","59.1","37.321540572749","44.9","19.6271264099304","54.3"
"4","Total","955","100","458.479869304297","100","496.520130695703","100","250.262069810008","100","273.286183224401","100","242.25363771566","100","189.198109249931","100","171.975654736107","100","209.257492173392","100","408.478586950589","100","165.288266139912","100","309","100","268","100","179","100","73","100","126","100","268.0514936446","100","629.202566356539","100","802.601817671208","100","152.398182328792","100","842.461816777251","100","112.538183222749","100","951.884871906941","100","3.1151280930589","100","527.293004889839","100","427.706995110161","100","924.669911180102","100","30.330088819898","100","793.99261007088","100","161.007389929119","100","944.84190750264","100","10.1580924973604","100","117.82035249218","100","430.102078548468","100","354.995695375431","100","52.0818735839202","100","31.6538325364769","100","101.074709648959","100","181.66214290362","100","127.904336624809","100","306.34521816183","100","87.0997258860742","100","83.0974944424357","100","36.1625397957959","100"
"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","edad","Total_Total_f","Total_Total_pct","F1_Hombre_f","F1_Hombre_pct","F1_Mujer_f","F1_Mujer_pct","Rangos.edad_18 a 25_f","Rangos.edad_18 a 25_pct","Rangos.edad_26 a 35_f","Rangos.edad_26 a 35_pct","Rangos.edad_36 a 45_f","Rangos.edad_36 a 45_pct","Rangos.edad_46 a 55_f","Rangos.edad_46 a 55_pct","nseREC_C+_f","nseREC_C+_pct","nseREC_C tipico_f","nseREC_C tipico_pct","nseREC_C-/D+_f","nseREC_C-/D+_pct","nseREC_D_f","nseREC_D_pct","Plaza_México_f","Plaza_México_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Mérida_f","Plaza_Mérida_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","tipoAudiencia_AudienciaAzteca_f","tipoAudiencia_AudienciaAzteca_pct","tipoAudiencia_AudienciaTelevisa_f","tipoAudiencia_AudienciaTelevisa_pct","P28.Canal.7..azteca.siete_FALSE_f","P28.Canal.7..azteca.siete_FALSE_pct","P28.Canal.7..azteca.siete_TRUE_f","P28.Canal.7..azteca.siete_TRUE_pct","P28.Canal.13..azteca.trece_FALSE_f","P28.Canal.13..azteca.trece_FALSE_pct","P28.Canal.13..azteca.trece_TRUE_f","P28.Canal.13..azteca.trece_TRUE_pct","P28.Canal.40..Proyecto.40_FALSE_f","P28.Canal.40..Proyecto.40_FALSE_pct","P28.Canal.40..Proyecto.40_TRUE_f","P28.Canal.40..Proyecto.40_TRUE_pct","P28.Canal.2..canal.de.las.estrella_FALSE_f","P28.Canal.2..canal.de.las.estrella_FALSE_pct","P28.Canal.2..canal.de.las.estrella_TRUE_f","P28.Canal.2..canal.de.las.estrella_TRUE_pct","P28.Canal.4..foro.tv_FALSE_f","P28.Canal.4..foro.tv_FALSE_pct","P28.Canal.4..foro.tv_TRUE_f","P28.Canal.4..foro.tv_TRUE_pct","P28.Canal.5_FALSE_f","P28.Canal.5_FALSE_pct","P28.Canal.5_TRUE_f","P28.Canal.5_TRUE_pct","P28.Canal.9..Galavisi.n_FALSE_f","P28.Canal.9..Galavisi.n_FALSE_pct","P28.Canal.9..Galavisi.n_TRUE_f","P28.Canal.9..Galavisi.n_TRUE_pct","Generacion_Generación Z_f","Generacion_Generación Z_pct","Generacion_Millennials_f","Generacion_Millennials_pct","Generacion_Generación X_f","Generacion_Generación X_pct","Generacion_Baby Bommers_f","Generacion_Baby Bommers_pct","B1_Papá solo con hijos_f","B1_Papá solo con hijos_pct","B1_Mamá sola con hijos_f","B1_Mamá sola con hijos_pct","B1_Vive solo(a)_f","B1_Vive solo(a)_pct","B1_Papá y Mamá no mayores a 35 años con hijos_f","B1_Papá y Mamá no mayores a 35 años con hijos_pct","B1_Papá y Mamá mayores a 35 años con hijos_f","B1_Papá y Mamá mayores a 35 años con hijos_pct","B1_Pareja, hijos y otros parientes_f","B1_Pareja, hijos y otros parientes_pct","B1_Pareja sin hijos_f","B1_Pareja sin hijos_pct","B1_Otra (especificar)_f","B1_Otra (especificar)_pct"
"7","18 a 25","250.262069810008","26.2","116.508311908139","25.4","133.753757901868","26.9","250.262069810008","100","0","0","0","0","0","0","53.2416088632773","31","54.4932476467732","26","105.800102256237","25.9","36.7271110437202","22.2","83.7451963398495","27.1","65.8178383069845","24.6","48.895203951417","27.3","20.5502876578072","28.2","31.2535435539493","24.8","71.2159368073156","26.6","162.138349999478","25.8","204.761301173932","25.5","45.5007686360751","29.9","224.546901638767","26.7","25.7151681712406","22.9","250.262069810008","26.3","0","0","160.219713384957","30.4","90.0423564250504","21.1","242.872078481416","26.3","7.38999132859129","24.4","186.316676379775","23.5","63.9453934302323","39.7","249.501460994403","26.4","0.760608815604434","7.5","117.82035249218","100","132.441717317827","30.8","0","0","0","0","10.6089925099394","33.5","16.2513414695178","16.1","52.042725423803","28.6","33.2205556262526","26","92.0092500892251","30","13.3956349446762","15.4","20.5438015256414","24.7","12.1897682209522","33.7"
"8","26 a 35","273.286183224401","28.6","133.363927421263","29.1","139.922255803138","28.2","0","0","273.286183224401","100","0","0","0","0","45.5499056259653","26.5","73.2373671669128","35","124.107950686905","30.4","30.3909597446178","18.4","91.9997732477751","29.8","72.7673416619618","27.2","51.1755818480753","28.6","22.6826128015211","31.1","34.660873665068","27.5","78.6183787225007","29.3","183.171437816011","29.1","229.189358603978","28.6","44.0968246204236","28.9","239.193686334171","28.4","34.0924968902305","30.3","272.857126012555","28.7","0.429057211846691","13.8","146.826734255732","27.8","126.45944896867","29.6","270.696156849506","29.3","2.59002637489478","8.5","221.368563820225","27.9","51.9176194041762","32.2","271.081840156131","28.7","2.20434306827047","21.7","0","0","273.286183224401","63.5","0","0","0","0","5.91756858222813","18.7","31.2923021454633","31","56.6074383530106","31.2","83.0350558248215","64.9","36.6586211588241","12","22.2999289144139","25.6","32.443821551806","39","5.03144669383377","13.9"
"9","36 a 45","242.25363771566","25.4","120.318655088423","26.2","121.934982627237","24.6","0","0","0","0","242.25363771566","100","0","0","40.7001928821261","23.7","49.3066079319215","23.6","106.255875090557","26","45.9909618110554","27.8","70.4314641273689","22.8","79.8628273938479","29.8","42.9289830080646","24","17.1283752578817","23.5","31.9019879284969","25.3","77.3920633184605","28.9","148.076851782789","23.5","197.535942949625","24.6","44.7176947660347","29.3","209.579269163234","24.9","32.6743685524258","29","242.25363771566","25.4","0","0","137.254338119639","26","104.99929959602","24.5","231.550576638398","25","10.703061077262","35.3","211.743512313948","26.7","30.510125401712","18.9","240.389272007865","25.4","1.86436570779493","18.4","0","0","24.3741780062395","5.7","217.87945970942","61.4","0","0","8.21542551223579","26","36.0705837359485","35.7","38.5592149727011","21.2","9.99635661863408","7.8","102.484416949665","33.5","23.4116032273257","26.9","11.8997221481511","14.3","11.6163145509983","32.1"
"10","46 a 55","189.198109249931","19.8","88.288974886472","19.3","100.909134363459","20.3","0","0","0","0","0","0","189.198109249931","100","32.4839473647383","18.9","32.2202694277842","15.4","72.3146589168903","17.7","52.1792335405185","31.6","62.8235662850065","20.3","49.5519926372058","18.5","36.0002311924432","20.1","12.63872428279","17.3","28.1835948524857","22.4","40.825114796323","15.2","135.81592675826","21.6","171.115214943673","21.3","18.0828943062586","11.9","169.141959641079","20.1","20.0561496088522","17.8","186.512038368719","19.6","2.68607088121221","86.2","82.9922191295106","15.7","106.205890120421","24.8","179.551099210781","19.4","9.6470100391499","31.8","174.563857556932","22","14.6342516929989","9.1","183.869334344241","19.5","5.32877490569055","52.5","0","0","0","0","137.116235666011","38.6","52.0818735839202","100","6.91184593207358","21.8","17.4604822980291","17.3","34.4527641541055","19","1.6523685551007","1.3","75.1929299641151","24.5","27.9925587996584","32.1","18.2101492168372","21.9","7.32501033001168","20.3"
